gene	ultracluster	PV	ResponderMid	NonresponderMid	AD	TResponderMid	TNonresponderMid
IL13RA1	moDC	0.755	0.059	0.89	0.758	0.059	0.966
NCBP3	moDC	0.755	0.476	0.605	0.55	0.474	0.689
CTSC	moDC	0.752	0.654	-0.422	0.895	0.649	-0.213
SWAP70	moDC	0.752	0.287	0.805	0.361	0.288	0.844
TIPARP	moDC	0.752	0.44	0.824	0.733	0.435	1.033
SMIM13	moDC	0.751	0.707	-0.398	0.804	0.701	-0.189
FBXL3	moDC	0.75	0.512	1.491	0.997	0.536	1.022
NCOA7	moDC	0.75	0.854	0.903	0.927	0.852	1.005
ANKRD10	moDC	0.749	0.728	1.294	0.917	0.726	1.416
KIT	moDC	0.745	3.424	4.072	-0.184	3.418	4.282
DHRS7	moDC	0.743	0.539	0.943	0.606	0.538	1.037
N4BP2	moDC	0.743	0.323	0.299	0.661	0.325	0.186
CCDC186	moDC	0.742	0.701	2.198	0.693	0.695	2.407
PDCD5	moDC	0.741	0.804	0.836	0.541	0.801	0.943
DCTN1	moDC	0.739	0.805	1.33	0.509	0.815	1.124
MED13L	moDC	0.739	0.186	0.679	0.769	0.181	0.888
GRHPR	moDC	0.738	0.852	-0.532	0.851	0.846	-0.323
RBM3	moDC	0.738	0.643	0.459	0.797	0.638	0.668
USP14	moDC	0.738	0.872	0.702	0.371	0.87	0.759
BACH1	moDC	0.731	0.203	1.646	0.544	0.205	1.761
SLC25A24	moDC	0.73	0.626	1.501	0.779	0.641	1.251
ARID3A	moDC	0.729	0.216	-0.031	1.426	0.231	-1.045
ST3GAL6	moDC	0.728	0.319	0.799	1.036	0.325	0.686
ARPP19	moDC	0.727	0.648	0.804	0.776	0.651	0.703
SRD5A1	moDC	0.727	0.582	1.628	0.626	0.615	0.963
CGAS	moDC	0.725	0.427	-0.058	0.099	0.426	-0.112
ZNF281	moDC	0.725	0.294	-0.281	0.668	0.289	-0.072
HLA-F	moDC	0.719	0.097	0.7	1.168	0.101	0.687
MOB1A	moDC	0.715	0.248	0.853	0.773	0.245	1.002
PIK3CB	moDC	0.714	0.343	1.953	0.869	0.338	2.162
REEP3	moDC	0.714	0.65	0.157	0.575	0.657	-0.441
ACSL3	moDC	0.713	0.436	1.132	0.474	0.441	1.1
MID1IP1	moDC	0.713	0.348	-Inf	1.108	0.343	-Inf
OGA	moDC	0.711	0.203	0.375	0.928	0.204	0.343
PAG1	moDC	0.71	0.678	2.311	1.248	0.672	2.52
CD52	moDC	0.709	-0.153	1.392	1.485	-0.159	1.601
LYST	moDC	0.707	0.142	0.637	0.686	0.142	0.687
TANK	moDC	0.707	0.383	0.999	0.777	0.386	0.982
ALOX15B	moDC	0.706	0.051	-0.62	1.333	0.046	-0.411
COMMD6	moDC	0.706	0.813	0.601	0.644	0.811	0.64
AHNAK	moDC	0.704	0.39	0.748	0.95	0.386	0.921
ATP5ME	moDC	0.697	1.201	1.016	0.812	1.203	0.884
JOSD1	moDC	0.697	0.555	-0.513	0.69	0.554	-0.718
TMOD2	moDC	0.697	0.121	-0.222	0.502	0.115	-0.013
TNFSF13B	moDC	0.697	0.316	0.54	1.639	0.335	-0.261
PHKB	moDC	0.695	0.436	-0.545	0.862	0.436	-0.795
ZC3H7A	moDC	0.694	0.348	1.317	0.693	0.345	1.469
ZFAND5	moDC	0.693	0.003	0.472	0.664	0.002	0.578
TMCO3	moDC	0.691	0.251	-0.168	0.822	0.245	0.041
CLINT1	moDC	0.69	0.574	-0.588	0.355	0.573	-0.82
DNAJC21	moDC	0.69	0.513	0.231	0.42	0.514	0.15
ZMYM4	moDC	0.689	0.28	0.017	0.541	0.274	0.226
KCNE5	moDC	0.686	1.027	0.632	1.122	1.032	0.28
FAM107B	moDC	0.685	0.575	0.519	0.356	0.571	0.673
KATNBL1	moDC	0.683	0.469	0.599	0.749	0.464	0.808
MMP24OS	moDC	0.683	-0.078	-1.197	0.637	-0.084	-0.987
DAPK1	moDC	0.682	0.399	-0.537	0.18	0.394	-0.328
WDR82	moDC	0.682	0.56	0.618	0.957	0.558	0.689
PHF3	moDC	0.681	0.246	0.738	0.654	0.246	0.777
CERS6	moDC	0.68	0.393	0.553	0.676	0.395	0.509
HOMER2	moDC	0.68	0.596	0.075	0.962	0.592	0.197
RRAGC	moDC	0.679	0.501	0.292	0.567	0.5	0.295
HIPK2	moDC	0.677	0.277	0.582	1.003	0.281	0.511
AMFR	moDC	0.676	0.205	0.19	1.103	0.216	-0.338
CLEC2D	moDC	0.676	0.865	1.743	0.702	0.867	1.808
GABARAPL2	moDC	0.676	0.167	0.301	0.687	0.165	0.391
ARID2	moDC	0.671	0.531	0.537	0.6	0.528	0.631
SMC5	moDC	0.671	0.373	0.857	0.408	0.374	0.896
MCM5	moDC	0.669	0.434	1.007	0.988	0.433	1.117
UHRF1BP1L	moDC	0.669	0.564	1.262	0.716	0.559	1.471
CREBRF	moDC	0.668	0.458	1.162	1.065	0.468	1.008
PCNX4	moDC	0.668	0.619	2.009	1.086	0.614	2.219
SERINC3	moDC	0.667	0.387	0.855	0.906	0.381	1.064
PACS1	moDC	0.666	0.767	-0.062	0.966	0.767	-0.201
PAN3	moDC	0.666	0.736	0.456	1.044	0.73	0.665
KCNQ1OT1	moDC	0.665	0.82	0.188	1.003	0.818	0.204
RAD21	moDC	0.665	0.319	0.896	0.658	0.317	1.018
PPDPF	moDC	0.664	0.915	-0.301	0.4	0.916	-0.759
BRI3	moDC	0.663	0.383	0.606	0.659	0.384	0.579
IRF2	moDC	0.661	0.573	0.799	0.473	0.571	0.901
BCL7C	moDC	0.66	0.585	0.103	0.678	0.579	0.312
ITCH	moDC	0.659	0.62	1.634	0.645	0.628	1.58
MTF1	moDC	0.659	-0.017	0.332	0.35	-0.022	0.541
SMAP2	moDC	0.657	0.374	-0.177	0.835	0.372	-0.157
PRRC2B	moDC	0.656	0.576	-0.495	0.785	0.575	-0.608
GCSAM	moDC	0.655	0.812	-0.015	0.73	0.82	-1.029
MGAT4B	moDC	0.654	0.271	-0.339	0.78	0.265	-0.13
C9orf16	moDC	0.653	-0.078	0.576	0.799	-0.083	0.785
MSRB1	moDC	0.652	0.228	-0.179	0.575	0.227	-0.192
MZT2B	moDC	0.652	0.125	0.554	0.916	0.123	0.656
PIK3C2A	moDC	0.652	0.482	0.839	0.527	0.481	0.923
STXBP3	moDC	0.652	0.427	0.636	0.542	0.427	0.676
VOPP1	moDC	0.652	0.294	-0.628	1.016	0.291	-0.589
CEP68	moDC	0.651	-0.015	0.041	1.058	-0.007	-0.335
WASHC4	moDC	0.651	0.109	0.891	0.89	0.104	1.101
H2AFJ	moDC	0.649	-0.432	0.803	0.798	-0.414	0.597
FGD5-AS1	moDC	0.648	0.282	0.542	0.607	0.281	0.625
PGD	moDC	0.646	0.816	1.263	0.261	0.819	1.241
CYTOR	moDC	0.645	1.047	0.177	0.581	1.041	0.386
IL1R1	moDC	0.645	0.255	1.121	0.716	0.253	1.274
RILPL2	moDC	0.644	-0.232	0.384	0.332	-0.238	0.593
SUCO	moDC	0.643	0.284	0.706	0.372	0.285	0.723
MYL6	moDC	0.641	0.345	0.155	0.388	0.344	0.177
UBALD2	moDC	0.641	0.102	0.022	0.498	0.104	-0.091
PRDM2	moDC	0.64	0.587	-0.11	0.57	0.585	-0.093
NCK1	moDC	0.639	0.609	0.526	1.121	0.61	0.472
LYN	moDC	0.638	0.001	0.335	0.638	0.001	0.374
ARNTL2	moDC	0.637	0.269	0.834	0.638	0.276	0.706
CYB5R4	moDC	0.637	0.575	2.004	0.772	0.569	2.213
SLCO5A1	moDC	0.637	-0.115	-2.428	1.079	-0.12	-2.219
MMD	moDC	0.635	0.341	0.334	0.553	0.338	0.418
ARL4C	moDC	0.63	-0.218	0.061	0.424	-0.22	0.155
SMAD2	moDC	0.63	0.387	0.331	0.596	0.381	0.54
SSH1	moDC	0.629	0.457	0.837	0.765	0.456	0.901
STARD7	moDC	0.627	0.772	0.981	0.89	0.766	1.19
KIAA1551	moDC	0.626	0.402	1.403	0.788	0.402	1.518
SET	moDC	0.625	0.939	0.77	0.317	0.939	0.724
SLC7A11	moDC	0.625	0.399	1.134	0.917	0.397	1.271
ARL6IP6	moDC	0.624	0.397	1.302	0.526	0.396	1.423
CAB39	moDC	0.624	-0.181	0.848	0.608	-0.172	0.794
PCMTD1	moDC	0.624	0.244	0.427	0.66	0.244	0.467
JPT1	moDC	0.623	0.313	0.004	0.658	0.319	-0.393
ADAP2	moDC	0.622	0.582	-1.039	0.52	0.581	-1.414
COL4A3BP	moDC	0.622	0.334	1.061	0.67	0.334	1.155
TPM3	moDC	0.622	0.766	0.706	0.278	0.763	0.804
TRPM7	moDC	0.622	0.453	0.482	0.683	0.448	0.691
PRDX6	moDC	0.621	0.209	0.878	0.604	0.21	0.943
SIRPA	moDC	0.621	0.213	0.564	0.568	0.21	0.699
TXNRD1	moDC	0.621	0.684	1.383	0.509	0.684	1.472
A1BG	moDC	0.62	0.782	-0.747	0.513	0.779	-0.86
ATL3	moDC	0.62	0.456	1.066	0.916	0.451	1.275
CIR1	moDC	0.62	0.457	1.367	0.512	0.465	1.281
VPS4B	moDC	0.62	0.673	0.846	0.372	0.673	0.854
DCUN1D1	moDC	0.617	0.452	0.736	0.643	0.452	0.752
RNASEH2B	moDC	0.617	0.317	0.434	0.599	0.331	-0.164
FAR1	moDC	0.616	0.344	0.673	0.632	0.338	0.882
ZC3HAV1	moDC	0.616	0.119	-2.275	1.257	0.113	-2.066
CASC4	moDC	0.611	-0.078	0.291	0.678	-0.084	0.5
QKI	moDC	0.611	0.218	0.933	0.644	0.217	1.06
ARID4A	moDC	0.61	0.001	0.32	0.716	-0	0.413
MACF1	moDC	0.61	0.118	0.971	0.421	0.116	1.109
PDE4D	moDC	0.61	0.249	1.366	0.324	0.281	0.767
PKN2	moDC	0.609	0.108	0.324	0.671	0.116	0.048
SMARCC1	moDC	0.608	0.545	0.616	0.646	0.539	0.825
NFIL3	moDC	0.606	-0.018	-0.333	0.862	-0.022	-0.198
PRPSAP1	moDC	0.605	0.464	-1.668	-0.053	0.463	-2.459
EIF2S3	moDC	0.604	0.768	0.811	0.733	0.763	1.02
KLF6	moDC	0.602	-0.009	-0.15	0.865	-0.009	-0.155
TRAFD1	moDC	0.602	0.665	0.308	0.489	0.668	0.077
CREBBP	moDC	0.6	0.398	1.107	0.629	0.398	1.179
LRRFIP2	moDC	0.6	0.282	0.617	0.56	0.279	0.755
PTMS	moDC	0.6	0.672	0.496	0.52	0.672	0.432
ECPAS	moDC	0.598	0.453	0.979	0.62	0.451	1.095
HIVEP1	moDC	0.598	0.139	0.448	0.564	0.135	0.605
FSCN1	moDC	0.595	0.27	-0.721	0.541	0.269	-0.875
GTF2I	moDC	0.595	0.408	1.009	1.06	0.418	0.803
PAK2	moDC	0.595	0.491	0.984	0.407	0.492	1.023
BTN2A2	moDC	0.594	0.257	1.041	0.483	0.281	0.472
FYN	moDC	0.592	-0.358	-0.398	1	-0.364	-0.189
TMEM14B	moDC	0.592	0.806	0.509	0.255	0.81	0.259
CALCRL	moDC	0.591	0.818	1.058	0.597	0.816	1.157
SQSTM1	moDC	0.591	0.986	0.504	0.322	0.985	0.439
ZNF516	moDC	0.591	0.263	0.638	0.977	0.258	0.847
ECI1	moDC	0.59	0.248	-0.211	0.588	0.243	-0.002
PCGF5	moDC	0.59	0.56	1.244	0.487	0.559	1.346
RARRES1	moDC	0.589	0.388	1.973	-0.041	0.436	1.334
TMCC3	moDC	0.589	0.342	0.61	0.306	0.336	0.819
NSD3	moDC	0.587	-0.107	0.179	0.613	-0.108	0.243
BEX4	moDC	0.586	0.505	-1.575	0.45	0.509	-Inf
CXCL13	moDC	0.586	2.093	-2.544	-0.116	2.088	-3.335
RASSF2	moDC	0.583	0.327	-0.14	0.51	0.328	-0.284
DCAF6	moDC	0.582	0.436	1.039	0.812	0.435	1.129
KMT2A	moDC	0.582	0.006	-0.102	0.706	0	0.107
IL6R	moDC	0.581	-0.435	-0.016	0.366	-0.431	-0.097
YPEL5	moDC	0.581	0.056	0.586	0.538	0.055	0.682
CMPK1	moDC	0.579	0.447	-0.074	0.607	0.445	-0.087
HMGB2	moDC	0.577	-0.104	0.015	0.5	-0.098	-0.191
BROX	moDC	0.575	0.569	0.816	0.483	0.563	1.025
NPTN	moDC	0.575	0.502	0.649	0.484	0.499	0.78
FAM96A	moDC	0.574	0.64	0.738	0.578	0.652	0.21
REPIN1	moDC	0.574	-0.018	-0.996	1.029	-0.015	-1.524
XPO1	moDC	0.573	0.584	0.13	0.552	0.582	0.147
TMEM131L	moDC	0.572	0.159	0.492	0.58	0.169	0.186
ZNF148	moDC	0.572	0.258	0.957	0.696	0.267	0.818
CD3D	moDC	0.569	-1.299	-Inf	-0.625	-1.304	-Inf
AFTPH	moDC	0.567	0.153	0.607	0.699	0.152	0.709
ARL8A	moDC	0.566	0.399	1.137	0.548	0.407	1.041
CD86	moDC	0.566	0.359	0.314	0.377	0.357	0.383
HLA-E	moDC	0.566	-0.059	0.237	0.436	-0.062	0.371
TBCB	moDC	0.566	0.529	-0.149	0.439	0.533	-0.577
FTX	moDC	0.563	0.29	0.723	0.87	0.308	0.162
PRKAG2	moDC	0.563	0.59	0.726	0.551	0.594	0.587
RIF1	moDC	0.563	0.515	1.256	0.5	0.524	1.124
ACIN1	moDC	0.562	0.532	1.142	0.503	0.53	1.28
DDT	moDC	0.562	0.121	-1.595	0.515	0.118	-1.801
NBPF19	moDC	0.561	0.554	1.02	0.628	0.548	1.229
SULF2	moDC	0.561	-0.041	-0.889	0.563	-0.047	-0.679
EZR	moDC	0.56	0.471	1.179	0.432	0.467	1.359
PIAS1	moDC	0.56	0.114	0.75	0.743	0.113	0.872
CPEB4	moDC	0.557	0.758	1.267	0.76	0.765	1.128
SLK	moDC	0.557	0.183	0.981	0.679	0.181	1.123
SSR3	moDC	0.557	0.354	0.179	0.354	0.356	0.054
MSL1	moDC	0.556	0.321	1.145	0.837	0.316	1.354
NRDC	moDC	0.556	0.142	0.374	0.22	0.136	0.583
REV3L	moDC	0.556	0.864	0.215	-0.211	0.861	0.232
TES	moDC	0.556	0.464	1.231	0.737	0.463	1.35
ELF2	moDC	0.554	0.289	0.491	0.809	0.289	0.53
NEK7	moDC	0.554	0.32	1.252	0.722	0.32	1.354
SPTAN1	moDC	0.554	0.485	1.145	0.267	0.484	1.238
SUPT16H	moDC	0.553	0.893	0.613	0.318	0.894	0.542
CACYBP	moDC	0.551	0.424	-0.023	0.251	0.423	-0.077
POGLUT1	moDC	0.55	0.83	0.461	0.653	0.835	0.057
RB1CC1	moDC	0.55	0.327	0.718	0.667	0.327	0.775
ADPGK	moDC	0.549	-0.229	0.185	0.805	-0.225	0.105
DICER1	moDC	0.549	0.236	1.092	0.843	0.236	1.176
AGPS	moDC	0.548	0.887	-0.995	0.46	0.881	-0.786
GMFB	moDC	0.548	0.163	0.776	0.36	0.158	0.985
S1PR1	moDC	0.548	0.371	-0.665	0.825	0.369	-0.778
UBXN7	moDC	0.548	0.263	1.3	0.692	0.277	1.123
CTNNA1	moDC	0.547	0.279	0.098	0.438	0.277	0.161
UBE2D1	moDC	0.546	0.357	0.611	0.213	0.358	0.627
IQGAP1	moDC	0.545	0.436	1	0.467	0.439	0.995
CUL1	moDC	0.543	0.29	0.796	0.13	0.29	0.85
LIMS1	moDC	0.543	0.324	0.446	0.475	0.319	0.655
NCOA3	moDC	0.542	0.314	0.716	0.764	0.312	0.832
ZC3H4	moDC	0.542	0.511	1.02	0.676	0.512	1.077
BUB3	moDC	0.541	0.589	0.44	0.257	0.594	0.18
HADHA	moDC	0.541	0.836	0.672	0.531	0.834	0.711
ARID1A	moDC	0.539	0.228	0.823	0.992	0.238	0.617
EP300	moDC	0.539	0.645	0.939	0.849	0.642	1.074
SBNO1	moDC	0.537	0.203	0.705	0.721	0.201	0.836
TBL1XR1	moDC	0.537	0.324	0.586	0.698	0.334	0.281
UBE2W	moDC	0.537	0.359	-1.081	0.855	0.353	-0.872
YWHAZ	moDC	0.536	0.787	0.8	0.146	0.785	0.887
ARF5	moDC	0.535	0.955	0.2	0.31	0.952	0.271
SMARCE1	moDC	0.535	0.554	1.016	0.221	0.557	0.977
TOMM7	moDC	0.534	0.44	0.02	0.676	0.446	-0.381
AIDA	moDC	0.533	0.577	-0.017	0.426	0.579	-0.294
CSNK2A2	moDC	0.532	0.538	0.801	0.522	0.536	0.885
TTYH2	moDC	0.531	0.224	0.422	0.624	0.227	0.356
ZNF22	moDC	0.53	0.204	0.675	0.387	0.204	0.746
MDM2	moDC	0.529	0.431	1.098	0.876	0.428	1.236
PABPC1	moDC	0.529	0.364	0.442	0.64	0.36	0.589
ZNF267	moDC	0.529	0.124	0.766	0.229	0.121	0.917
CTDSP2	moDC	0.528	0.02	-0.45	0.715	0.022	-0.656
ERP29	moDC	0.528	0.281	0.687	0.69	0.284	0.674
PTBP3	moDC	0.528	0.233	0.881	0.744	0.234	0.932
AGPAT3	moDC	0.527	-0.012	-0.06	0.53	-0.018	0.149
C9orf78	moDC	0.527	0.779	-0.546	0.233	0.781	-1.337
DPYSL2	moDC	0.527	0.765	-0.126	0.482	0.768	-0.617
NDE1	moDC	0.526	0.16	0.547	0.332	0.157	0.701
RAB14	moDC	0.526	0.673	-0.575	0.32	0.673	-0.897
FXR1	moDC	0.524	0.587	0.261	0.161	0.591	0.005
GPATCH2L	moDC	0.524	0.092	0.229	0.596	0.086	0.438
SMG1	moDC	0.523	0.557	0.173	0.742	0.555	0.222
DBI	moDC	0.522	0.819	0.249	0.336	0.819	0.152
SQLE	moDC	0.522	0.24	-0.018	0.343	0.238	0.016
JAK1	moDC	0.521	-0.121	0.333	0.517	-0.117	0.282
NAP1L1	moDC	0.521	0.436	0.193	0.581	0.434	0.272
SRPK1	moDC	0.521	0.152	1.418	0.387	0.158	1.458
C6orf62	moDC	0.517	0.558	0.173	0.826	0.561	-0.059
RAMP1	moDC	0.517	0.116	-0.26	0.697	0.116	-0.317
ADD1	moDC	0.516	0.23	-1.053	0.579	0.229	-1.259
KAT6A	moDC	0.515	0.383	1.14	0.794	0.384	1.211
TRAPPC1	moDC	0.513	0.595	-0.318	0.404	0.599	-0.886
CCDC88A	moDC	0.511	0.215	0.345	0.936	0.211	0.522
CIITA	moDC	0.511	0.112	-0.48	0.754	0.111	-0.493
BCL2	moDC	0.51	0.127	0.578	0.567	0.126	0.671
HIPK3	moDC	0.51	0.183	1.069	0.666	0.182	1.196
SLC5A3	moDC	0.51	-0.674	1.197	0.202	-0.677	1.388
CLIC2	moDC	0.509	-0.072	0.345	0.591	-0.069	0.313
SYF2	moDC	0.509	0.394	0.696	0.276	0.393	0.757
ANKRD11	moDC	0.508	0.102	-0.66	0.787	0.099	-0.627
GSTP1	moDC	0.508	0.172	-0.131	0.55	0.174	-0.292
MYH9	moDC	0.507	0.248	0.348	0.539	0.25	0.285
SYNGR2	moDC	0.507	0.109	0.018	0.574	0.111	-0.075
NMT1	moDC	0.506	1.136	0.223	0.369	1.137	-0.099
STMP1	moDC	0.506	0.73	0.945	0.657	0.736	0.721
CAP1	moDC	0.505	0.198	0.672	0.336	0.2	0.677
EIF4B	moDC	0.504	0.016	0.246	0.739	0.018	0.221
HNRNPR	moDC	0.503	0.461	0.036	0.326	0.461	-0.03
LRCH3	moDC	0.502	0.177	0.641	0.534	0.171	0.85
SHOC2	moDC	0.502	0.552	1.061	0.205	0.549	1.212
ELOA	moDC	0.499	0.449	0.116	0.16	0.444	0.325
LPGAT1	moDC	0.498	0.221	0.726	0.668	0.23	0.52
SEC14L1	moDC	0.498	0.116	0.357	0.564	0.113	0.505
MAP3K13	moDC	0.496	-0.059	-0.297	0.411	-0.062	-0.211
ANXA2	moDC	0.493	0.595	0.263	0.42	0.593	0.315
ARID1B	moDC	0.493	0.466	0.02	0.742	0.472	-0.471
TMEM14C	moDC	0.493	0.594	0.239	0.419	0.598	-0.046
CD99	moDC	0.492	0.464	0.329	0.423	0.463	0.346
STK38L	moDC	0.492	0.536	-0.139	0.286	0.531	0.07
SEPT7	moDC	0.491	0.474	0.831	0.243	0.471	0.969
RBM33	moDC	0.49	0.258	0.874	0.794	0.262	0.86
RBM47	moDC	0.49	0.222	0.393	0.401	0.216	0.602
TSPO	moDC	0.49	0.822	-0.015	1.435	0.823	-0.279
RFTN1	moDC	0.489	0.357	0.205	0.391	0.358	0.146
YWHAH	moDC	0.489	0.403	0.368	0.464	0.403	0.355
ANKRD33B	moDC	0.487	0.326	0.685	0.773	0.321	0.894
SRI	moDC	0.487	0.285	-0.863	0.309	0.28	-0.654
CCNDBP1	moDC	0.486	-0.006	-0.173	0.641	-0.011	0.037
VDAC3	moDC	0.484	0.536	-0.237	0.139	0.54	-0.794
WIPI2	moDC	0.484	0.098	-0.134	0.602	0.099	-0.247
HNRNPU	moDC	0.483	0.449	0.842	0.37	0.447	0.954
RUFY1	moDC	0.482	0.322	-0.287	0.461	0.317	-0.078
RAB5B	moDC	0.48	0.353	-0.047	0.443	0.353	-0.138
SIAH2	moDC	0.48	-0.144	-0.385	0.576	-0.137	-0.828
ZFC3H1	moDC	0.478	0.242	0.365	0.583	0.236	0.574
CAST	moDC	0.477	0.963	0.168	0.586	0.96	0.239
FOXP1	moDC	0.477	0.285	-0.126	0.549	0.283	-0.087
FRYL	moDC	0.477	0.308	0.7	0.602	0.307	0.784
NCOR1	moDC	0.477	0.291	0.73	0.528	0.295	0.666
TRIM25	moDC	0.477	-0.003	1.535	0.876	-0.008	1.744
CALM2	moDC	0.476	0.433	0.478	0.338	0.43	0.589
DDX17	moDC	0.475	0.382	0.744	0.679	0.384	0.749
JUND	moDC	0.473	0.339	-0.19	0.441	0.338	-0.268
BIRC3	moDC	0.471	0.229	0.33	0.663	0.232	0.25
GMFG	moDC	0.468	-0.655	1.153	0.574	-0.66	1.362
MECP2	moDC	0.468	0.718	0.62	0.379	0.72	0.524
WDR33	moDC	0.468	0.32	0.417	0.449	0.32	0.404
PIM1	moDC	0.467	-0.532	-0.302	0.806	-0.532	-0.285
RNF145	moDC	0.467	0.589	0.3	0.29	0.592	0.057
COX4I1	moDC	0.466	0.192	0.264	0.583	0.194	0.224
PLEKHB2	moDC	0.466	0.4	0.16	0.547	0.402	0.021
SFT2D2	moDC	0.466	0.913	0.929	0.916	0.918	0.723
STK24	moDC	0.466	-0.164	1.415	0.628	-0.166	1.572
CSF2RB	moDC	0.465	-0.434	-1.266	1.219	-0.432	-1.642
DAPP1	moDC	0.465	0.087	0.051	0.489	0.085	0.146
LEPROTL1	moDC	0.465	0.13	2.072	0.748	0.125	2.282
ADAM9	moDC	0.464	0.01	0.548	0.145	0.011	0.587
IFNAR2	moDC	0.464	0.032	0.42	0.769	0.033	0.437
NUP50	moDC	0.464	0.465	0.537	0.293	0.468	0.424
GNS	moDC	0.463	-0.313	0.988	0.435	-0.319	1.198
AAK1	moDC	0.462	0.481	0.821	0.479	0.496	0.293
DYNC1I2	moDC	0.462	1.025	0.388	0.253	1.026	0.131
MGAT1	moDC	0.462	0.005	-1.032	0.505	-0.001	-0.823
SH3GLB1	moDC	0.462	0.617	0.179	0.245	0.615	0.218
SNX6	moDC	0.462	0.42	0.421	0.115	0.417	0.528
RTN3	moDC	0.46	0.383	0.515	0.366	0.38	0.642
PHF20L1	moDC	0.458	0.224	0.844	0.422	0.221	0.989
EIF4G2	moDC	0.457	0.403	0.808	0.336	0.402	0.895
TAOK1	moDC	0.456	0.195	0.172	0.841	0.19	0.381
IL32	moDC	0.454	-0.055	-0.54	-0.523	-0.058	-0.469
RAB29	moDC	0.454	-0.134	-0.076	0.888	-0.128	-0.326
BDP1	moDC	0.453	0.647	0.667	0.731	0.647	0.696
CDKN1B	moDC	0.453	-0.203	0.927	0.564	-0.199	0.984
FNDC3A	moDC	0.453	0.561	1.034	0.186	0.555	1.243
GNPTAB	moDC	0.453	-0.308	1.399	0.389	-0.3	1.456
TNFAIP2	moDC	0.453	-0.114	-0.002	0.471	-0.117	0.135
CELF2	moDC	0.452	0.528	-0.183	0.806	0.528	-0.331
FLNA	moDC	0.452	-0.07	0.99	0.383	-0.069	1.097
UBE3A	moDC	0.452	0.24	-0.865	0.513	0.235	-0.656
MED4	moDC	0.45	0.655	0.394	0.262	0.662	-0.075
NCOR2	moDC	0.449	0.202	0.125	0.737	0.199	0.209
WNK1	moDC	0.448	0.182	-0.056	0.857	0.182	-0.136
AKAP9	moDC	0.447	0.623	0.702	0.62	0.62	0.812
ANP32A	moDC	0.447	0.25	0.48	0.353	0.248	0.589
FAM50A	moDC	0.447	0.275	-0.895	0.438	0.272	-0.878
ZFP36L1	moDC	0.447	-0.046	0.043	0.729	-0.038	-0.302
WASF2	moDC	0.446	0.062	0.287	0.508	0.064	0.274
IFNGR1	moDC	0.445	-0.319	0.304	0.249	-0.319	0.375
CLIP1	moDC	0.443	0.174	0.6	0.554	0.173	0.665
WIPF1	moDC	0.443	0.302	0.246	0.512	0.311	-0.173
EMC3	moDC	0.442	0.408	1.291	0.516	0.42	1.104
GGNBP2	moDC	0.442	0.39	-0.007	0.5	0.387	0.065
BLVRA	moDC	0.441	-0.101	-0.325	0.54	-0.1	-0.4
SP3	moDC	0.441	0.208	1.447	0.458	0.202	1.656
PPIA	moDC	0.44	0.956	0.433	0.231	0.956	0.307
TMEM30A	moDC	0.44	0.082	1.159	0.664	0.085	1.216
AGFG1	moDC	0.439	0.245	0.455	0.604	0.249	0.342
CCDC82	moDC	0.439	0.204	1.126	0.098	0.199	1.335
VDAC1	moDC	0.439	0.645	-0.017	0.194	0.645	-0.125
ANP32B	moDC	0.437	0.334	0.776	0.486	0.335	0.808
ENSA	moDC	0.437	0.188	0.82	0.344	0.183	1.029
RNF213	moDC	0.436	-0.072	0.895	0.426	-0.067	0.909
TAP1	moDC	0.436	-0.228	-0.083	0.193	-0.221	-0.321
EIF3F	moDC	0.434	0.155	-1.418	0.544	0.154	-1.794
GFPT1	moDC	0.434	0.58	0.401	0.365	0.582	0.262
KRAS	moDC	0.434	0.115	0.448	0.55	0.116	0.464
NPEPPS	moDC	0.434	0.268	1.285	0.504	0.274	1.278
POLR1D	moDC	0.433	0.341	0.463	0.591	0.338	0.59
CAPRIN1	moDC	0.432	0.45	-0.13	0.229	0.444	0.079
HERC4	moDC	0.432	0.371	-0.177	0.537	0.366	0.032
NIPBL	moDC	0.432	0.218	1.1	0.705	0.215	1.266
KDM2A	moDC	0.431	0.005	-0.383	0.727	0.001	-0.28
LACTB	moDC	0.431	0.065	0.287	0.332	0.069	0.185
BCLAF1	moDC	0.429	0.56	0.642	0.549	0.558	0.741
RIT1	moDC	0.429	0.536	1.099	0.003	0.535	1.209
FNBP1	moDC	0.428	0.352	0.159	0.371	0.351	0.165
ITGB8	moDC	0.428	0.725	0.394	0.198	0.726	0.259
CD80	moDC	0.427	-0.202	0.364	-0.006	-0.207	0.573
HLA-DQA2	moDC	0.427	2.157	-2.699	0.913	2.151	-2.49
MAPRE1	moDC	0.427	0.161	0.403	0.209	0.159	0.505
SPPL2A	moDC	0.427	0.219	0.814	0.46	0.216	0.957
MAPK1	moDC	0.426	0.3	1.533	0.593	0.309	1.507
RBBP4	moDC	0.426	1.077	1.186	0.322	1.071	1.395
GRINA	moDC	0.425	0.104	-0.489	0.561	0.107	-0.758
IFNAR1	moDC	0.425	0.424	0.927	0.274	0.421	1.063
ZFR	moDC	0.424	0.364	0.321	0.379	0.363	0.35
LSP1	moDC	0.423	0.414	-0.103	0.549	0.415	-0.219
PPP3CA	moDC	0.423	0.572	0.976	0.469	0.569	1.124
UBE2R2	moDC	0.422	-0.045	0.116	0.489	-0.04	-0.047
